countryterritoryCode,Country,tourist_arrival_2018,tourist_departure_2018,perc_diabetes_2019,fempop_2018,male_pop_2018,gdp_capita_2018,sanitation_access_2016,handwashing_access_2017,heathcare_coverage_2017,hops_bedsper1000_2016,doc_per1000_2015,pop_over65_2018,smoking_perc_2016,date,confirm,death,recov
PSE,West Bank and Gaza,606000,,9.5,2251538,2317549,3198.866644,96.9275988,,,1.200000048,0.837,143163,,2020-04-05,237,1,25
PYF,France,,,,,,,,,,,,,,2020-04-05,41,0,0
QAT,Qatar,1819300,,15.6,681380,2100297,68793.78444,100,,68,1.2,1.7971,38111,20.6,2020-04-05,1604,4,123
REU,France,,,,,,,,,,,,,,2020-04-05,344,0,40
RKS,Kosovo,,,,,,,,,,,,,,2020-04-05,145,1,23
ROU,Romania,11720000,21039000,6.9,9998648,9475288,12301.1864,83.55720095,,74,6.3,2.6324,3571267,29.7,2020-04-05,3864,151,374
RUS,Russia,,,,,,,,,,,,,,2020-04-05,5389,45,355
RWA,Rwanda,,,5.1,6256897,6045042,772.9444599,65.41228848,4.617278345,57,1.6,0.1408,361455,12.3,2020-04-05,104,0,4
SAU,Saudi Arabia,15334000,21866000,15.8,14304228,19395719,23338.96346,99.90776106,,74,2.7,2.577,1116846,15.6,2020-04-05,2402,34,488
SDN,Sudan,836000,,22.1,20920587,20880946,977.2736357,36.48562591,23.43736496,44,0.8,0.41,1496980,,2020-04-05,12,2,2
SEN,Senegal,,,2.4,8129692,7724668,1521.953554,50.78331894,24.14587608,45,0.3,0.2018,489396,8.2,2020-04-05,222,2,82
SGP,Singapore,14673000,9889000,5.5,2687287,2951389,64581.94402,100,,86,2.4,2.041,646383,16.5,2020-04-05,1309,6,320
SLE,Sierra Leone,57000,112000,2.4,3834355,3815799,533.9911843,15.29304218,19.27513816,39,0.4,0.025,226946,24.8,2020-04-05,6,0,0
SLV,El Salvador,1677300,1260000,8.8,3410314,3010430,4058.252439,87.22763606,90.64968485,76,1.3,1.596,532093,9.9,2020-04-05,62,3,2
SMR,San Marino,84000,,5.9,,,,100,,,3.8,6.1468,,,2020-04-05,266,32,35
