Week,Date,Lecturer,Topic,url
1,03/04/20,Santi,Introduction to R,https://github.com/aweimann/floto-lab-learning-bioinformatics/blob/master/presentations/R_worskshop_Statistics_analysisENG.pptx?raw=true
2,08/04/20,Santi,The grammar of graphics and intro to stats in R,https://github.com/aweimann/floto-lab-learning-bioinformatics/blob/master/presentations/R_worskshop_Statistics_analysisENG.pptx?raw=true
3,15/04/20,Aaron,Probability distributions,https://github.com/aweimann/floto-lab-learning-bioinformatics/raw/master/docs/presentations/probability_distributions.pptx
