countryterritoryCode	date	Oxford_stringency_level	day_count	Country	tourist_arrival_2018	tourist_departure_2018	perc_diabetes_2019	fempop_2018	male_pop_2018	gdp_capita_2018	sanitation_access_2016	handwashing_access_2017	heathcare_coverage_2017	hops_bedsper1000_2016	doc_per1000_2015	pop_over65_2018	smoking_perc_2016	region	sub-region
SMR	2020-03-29	0	20	San Marino	84000	NA	5.9	NA	NA	NA	100	NA	NA	3.8	6.1468	NA	NA	Europe	Southern Europe
SRB	2020-04-04	100	20	Serbia	1711000	NA	9	3561039	3421045	7246.731656	97.60069851	NA	65	5.7	2.4649	1280919	38.9	Europe	Southern Europe
SVK	2020-04-03	80.95	20	Slovakia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Europe	Eastern Europe
SVN	2020-03-30	100	20	Slovenia	4425000	3188000	5.9	1038755	1028617	26123.97387	99.10944205	NA	79	4.6	2.8099	405347	22.5	Europe	Southern Europe
SWE	2020-03-24	42.86	20	Sweden	7440000	NA	4.8	5086066	5097109	54608.36025	99.29786352	NA	86	2.6	4.2861	2046362	18.8	Europe	Northern Europe
THA	2020-03-29	71.43	20	Thailand	38178000	9966000	7	35595105	33833419	7273.563207	98.39644593	83.9233582	80	2.1	0.4655	8262614	19.9	Asia	South-eastern Asia
TWN	2020-04-02	38.1	20	Taiwan*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Asia	Eastern Asia
USA	2020-03-14	42.86	20	US	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Americas	Northern America
VNM	2020-04-02	100	20	Vietnam	15498000	NA	6	47862308	47678087	2566.59695	81.85570363	85.84654415	75	2.6	0.7887	6950543	22.8	Asia	South-eastern Asia
ZAF	2020-04-03	100	20	South Africa	10472000	NA	12.7	29290888	28488734	6374.028196	74.82487755	43.99257359	69	2.8	0.7827	3072723	20.3	Africa	Sub-Saharan Africa
